"Label","Baltimore County, Maryland!!Percent Insured!!Estimate","Baltimore County, Maryland!!Percent Insured!!Margin of Error","Montgomery County, Maryland!!Percent Insured!!Estimate","Montgomery County, Maryland!!Percent Insured!!Margin of Error","Prince George's County, Maryland!!Percent Insured!!Estimate","Prince George's County, Maryland!!Percent Insured!!Margin of Error","Baltimore city, Maryland!!Percent Insured!!Estimate","Baltimore city, Maryland!!Percent Insured!!Margin of Error","King County, Washington!!Percent Insured!!Estimate","King County, Washington!!Percent Insured!!Margin of Error","Pierce County, Washington!!Percent Insured!!Estimate","Pierce County, Washington!!Percent Insured!!Margin of Error","Yakima County, Washington!!Percent Insured!!Estimate","Yakima County, Washington!!Percent Insured!!Margin of Error"
"        Asian alone","93.5%","±1.0","94.3%","±0.6","91.5%","±1.3","91.5%","±2.1","95.1%","±0.4","92.4%","±1.0","89.9%","±4.6"
"        Native Hawaiian and Other Pacific Islander alone","70.2%","±24.5","80.7%","±24.4","90.9%","±9.6","90.7%","±9.6","91.6%","±1.8","90.8%","±2.1","77.0%","±24.9"
"        Some other race alone","74.7%","±5.0","71.5%","±1.8","64.9%","±1.3","73.5%","±4.9","73.6%","±1.7","74.7%","±2.6","80.4%","±2.2"
"        Two or more races","92.9%","±1.7","95.4%","±1.1","94.1%","±1.4","95.5%","±1.4","94.8%","±0.6","94.2%","±0.8","88.8%","±2.4"
"        Hispanic or Latino (of any race)","75.5%","±2.4","79.6%","±0.8","69.0%","±1.0","74.9%","±2.9","81.8%","±1.0","84.1%","±1.3","79.8%","±1.0"
"        White alone, not Hispanic or Latino","96.2%","±0.3","97.7%","±0.2","95.6%","±0.4","95.6%","±0.4","96.4%","±0.1","94.8%","±0.3","94.1%","±0.6"
"    LIVING ARRANGEMENTS","","","","","","","","","","","","","",""
"        In family households","94.6%","±0.3","92.6%","±0.3","89.0%","±0.3","92.7%","±0.5","94.8%","±0.2","93.7%","±0.3","86.3%","±0.6"
"            In married couple families","95.9%","±0.3","94.4%","±0.3","91.2%","±0.4","94.4%","±0.6","96.1%","±0.2","94.8%","±0.3","88.3%","±0.9"
"            In other families","91.5%","±0.8","86.4%","±0.9","85.6%","±0.7","91.3%","±0.6","89.5%","±0.6","90.4%","±0.7","82.3%","±1.2"
"                Male householder, no wife present","89.8%","±1.6","82.2%","±1.9","75.8%","±1.7","86.8%","±1.8","85.3%","±1.2","88.6%","±1.5","76.6%","±3.1"
"                Female householder, no husband present","92.0%","±0.8","88.1%","±1.0","89.1%","±0.7","92.4%","±0.7","91.5%","±0.6","91.2%","±0.9","84.8%","±1.4"
"        In non-family households and other living arrangements","93.3%","±0.6","92.6%","±0.7","90.2%","±0.6","93.0%","±0.5","92.9%","±0.3","91.1%","±0.8","87.3%","±1.6"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","",""
"        Native born","96.0%","±0.2","96.7%","±0.2","94.8%","±0.2","94.2%","±0.3","96.2%","±0.1","94.5%","±0.3","92.5%","±0.6"
"        Foreign born","82.9%","±1.4","83.9%","±0.6","70.1%","±0.9","77.1%","±1.9","87.9%","±0.5","81.6%","±1.2","59.6%","±1.9"
"            Naturalized","93.7%","±1.1","93.7%","±0.5","90.9%","±0.8","92.0%","±1.5","95.0%","±0.4","93.2%","±1.1","84.9%","±2.5"
"            Not a citizen","70.3%","±2.6","72.5%","±1.1","54.4%","±1.3","67.1%","±2.7","81.5%","±0.8","67.0%","±2.0","50.0%","±2.4"
"    DISABILITY STATUS","","","","","","","","","","","","","",""
"        With a disability","96.4%","±0.5","95.3%","±0.7","95.0%","±0.5","96.0%","±0.5","95.8%","±0.4","95.8%","±0.5","93.7%","±1.2"
"        No disability","94.1%","±0.3","92.3%","±0.3","88.6%","±0.3","92.2%","±0.4","94.2%","±0.2","92.9%","±0.3","85.4%","±0.6"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","94.1%","±0.3","91.8%","±0.3","87.9%","±0.3","92.3%","±0.4","93.7%","±0.2","92.6%","±0.3","83.0%","±0.7"
"            Less than high school graduate","85.4%","±1.4","68.6%","±1.7","64.0%","±1.3","87.3%","±1.1","78.2%","±1.3","79.6%","±1.6","66.7%","±1.8"
"            High school graduate (includes equivalency)","91.7%","±0.6","84.6%","±1.1","86.7%","±0.6","90.0%","±0.7","89.2%","±0.5","90.4%","±0.7","83.4%","±1.4"
"            Some college or associate's degree","94.5%","±0.5","91.3%","±0.6","92.2%","±0.5","92.8%","±0.8","93.6%","±0.3","94.2%","±0.5","91.0%","±1.2"
"            Bachelor's degree or higher","97.4%","±0.3","96.9%","±0.2","95.0%","±0.4","96.4%","±0.3","97.3%","±0.2","96.8%","±0.4","95.1%","±1.0"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","92.1%","±0.3","89.6%","±0.4","85.6%","±0.4","90.5%","±0.4","92.2%","±0.2","90.3%","±0.4","78.2%","±0.9"
"            In labor force","92.6%","±0.4","89.9%","±0.4","86.1%","±0.4","90.5%","±0.5","92.7%","±0.2","90.8%","±0.5","78.4%","±1.1"
"                Employed","93.3%","±0.4","90.6%","±0.4","87.0%","±0.4","91.7%","±0.4","93.2%","±0.2","91.7%","±0.5","79.2%","±1.1"
"                Unemployed","79.9%","±2.0","74.5%","±2.3","72.7%","±2.0","78.2%","±2.2","80.9%","±1.5","76.2%","±1.9","66.4%","±4.9"
"            Not in labor force","89.9%","±0.7","87.8%","±0.9","83.0%","±0.9","90.4%","±0.7","90.2%","±0.5","88.8%","±0.8","77.6%","±1.8"
"    WORK EXPERIENCE","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","92.1%","±0.3","89.6%","±0.4","85.6%","±0.4","90.5%","±0.4","92.2%","±0.2","90.3%","±0.4","78.2%","±0.9"
"            Worked full-time, year round in the past 12 months","94.2%","±0.4","92.0%","±0.4","88.3%","±0.4","93.2%","±0.4","94.8%","±0.2","92.8%","±0.5","80.9%","±1.3"
"            Worked less than full-time, year round in the past 12 months","88.8%","±0.8","85.8%","±0.9","81.9%","±0.7","86.3%","±0.8","88.7%","±0.4","87.9%","±0.7","73.0%","±1.8"
"            Did not work","89.5%","±0.7","85.9%","±0.9","80.7%","±1.1","89.0%","±0.8","89.4%","±0.5","87.3%","±0.9","79.1%","±1.8"
"    HOUSEHOLD INCOME (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","",""
"        Total household population","94.4%","±0.2","92.6%","±0.3","89.1%","±0.3","92.7%","±0.3","94.3%","±0.1","93.3%","±0.3","86.4%","±0.6"
"            Under $25,000","90.2%","±1.2","88.5%","±1.3","85.3%","±1.4","91.3%","±0.8","90.0%","±0.6","88.7%","±1.0","83.8%","±1.7"
"            $25,000 to $49,999","91.5%","±0.9","84.4%","±1.1","84.5%","±1.0","91.2%","±0.8","88.9%","±0.5","90.1%","±0.7","82.6%","±1.4"
"            $50,000 to $74,999","92.4%","±0.7","86.8%","±0.9","85.5%","±1.1","92.1%","±0.9","91.2%","±0.6","92.1%","±0.8","84.9%","±1.6"
"            $75,000 to $99,999","94.6%","±0.7","89.9%","±1.1","87.5%","±0.9","92.4%","±1.0","93.5%","±0.5","93.8%","±0.6","89.0%","±1.5"
"            $100,000 and over","97.1%","±0.3","96.2%","±0.3","92.7%","±0.4","95.7%","±0.5","97.3%","±0.1","96.4%","±0.3","93.8%","±1.2"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","94.4%","±0.2","92.6%","±0.3","89.1%","±0.3","92.7%","±0.3","94.3%","±0.1","93.2%","±0.3","86.4%","±0.6"
"            Below 138 percent of the poverty threshold","88.1%","±1.2","81.4%","±1.2","80.2%","±1.2","89.7%","±0.8","87.9%","±0.5","87.9%","±0.9","81.7%","±1.3"
"            138 to 399 percent of the poverty threshold","92.3%","±0.5","86.6%","±0.7","84.3%","±0.6","92.0%","±0.5","90.6%","±0.3","91.8%","±0.5","85.4%","±0.9"
"            At or above 400 percent of the poverty threshold","97.6%","±0.2","97.3%","±0.2","95.3%","±0.3","96.6%","±0.4","97.9%","±0.1","96.9%","±0.3","95.1%","±0.8"
"            Below 100 percent of the poverty threshold","87.5%","±1.4","80.6%","±1.8","79.5%","±1.4","89.7%","±0.7","87.5%","±0.7","87.4%","±1.0","81.0%","±1.6"
