"Label","Baltimore County, Maryland!!Percent Uninsured!!Estimate","Baltimore County, Maryland!!Percent Uninsured!!Margin of Error","Montgomery County, Maryland!!Percent Uninsured!!Estimate","Montgomery County, Maryland!!Percent Uninsured!!Margin of Error","Prince George's County, Maryland!!Percent Uninsured!!Estimate","Prince George's County, Maryland!!Percent Uninsured!!Margin of Error","Baltimore city, Maryland!!Percent Uninsured!!Estimate","Baltimore city, Maryland!!Percent Uninsured!!Margin of Error","King County, Washington!!Percent Uninsured!!Estimate","King County, Washington!!Percent Uninsured!!Margin of Error","Pierce County, Washington!!Percent Uninsured!!Estimate","Pierce County, Washington!!Percent Uninsured!!Margin of Error","Yakima County, Washington!!Percent Uninsured!!Estimate","Yakima County, Washington!!Percent Uninsured!!Margin of Error"
"    One Race","9.4%","±0.4","11.6%","±0.3","15.4%","±0.3","13.1%","±0.4","11.9%","±0.3","13.7%","±0.4","25.7%","±1.0"
"        White alone","7.7%","±0.4","6.6%","±0.3","17.4%","±0.8","11.5%","±0.7","10.1%","±0.3","12.2%","±0.4","22.5%","±1.2"
"        Black or African American alone","10.8%","±0.7","15.2%","±0.9","10.9%","±0.4","13.3%","±0.6","18.7%","±1.0","15.2%","±1.6","35.4%","±9.5"
"        American Indian and Alaska Native alone","11.4%","±4.8","10.1%","±4.0","25.7%","±7.7","28.6%","±11.3","22.6%","±3.6","26.5%","±5.0","37.7%","±4.0"
"        Asian alone","17.1%","±1.8","12.1%","±0.9","16.9%","±2.0","12.3%","±2.7","12.4%","±0.5","16.8%","±1.7","18.3%","±6.7"
"        Native Hawaiian and Other Pacific Islander alone","1.5%","±2.4","0.0%","±11.7","9.6%","±11.9","27.0%","±32.9","18.6%","±4.8","15.9%","±3.2","39.5%","±23.3"
"        Some other race alone","31.6%","±5.3","39.2%","±1.9","47.0%","±2.0","38.6%","±5.9","35.1%","±1.9","38.1%","±4.1","37.5%","±2.0"
"    Two or more races","9.9%","±2.0","9.9%","±1.4","13.3%","±2.2","12.7%","±2.1","11.4%","±0.8","12.5%","±1.1","17.0%","±3.9"
"White alone, not Hispanic or Latino","6.6%","±0.3","3.8%","±0.3","7.2%","±0.6","9.6%","±0.6","8.6%","±0.2","11.2%","±0.4","12.9%","±1.0"
"Hispanic or Latino (of any race)","31.4%","±3.4","29.8%","±1.1","41.7%","±1.1","36.7%","±2.4","29.9%","±1.3","27.4%","±1.8","37.5%","±1.6"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","",""
"    Native born","7.3%","±0.3","5.0%","±0.3","9.0%","±0.3","11.4%","±0.4","9.1%","±0.2","11.9%","±0.4","17.7%","±1.0"
"    Foreign born","26.2%","±1.7","25.1%","±0.8","40.3%","±1.1","34.4%","±1.6","22.4%","±0.7","28.7%","±1.4","60.3%","±1.9"
"        Naturalized","11.9%","±1.1","11.6%","±0.6","16.6%","±1.2","17.9%","±2.6","14.1%","±0.7","16.7%","±1.4","35.7%","±3.9"
"        Not a citizen","39.5%","±2.6","38.1%","±1.3","55.3%","±1.4","44.5%","±2.3","30.0%","±1.0","41.9%","±2.3","68.4%","±2.2"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 25 years and older","9.9%","±0.4","13.0%","±0.4","17.6%","±0.4","14.6%","±0.4","12.6%","±0.3","14.6%","±0.4","27.6%","±0.9"
"        Less than high school graduate","18.9%","±1.5","41.9%","±2.0","43.9%","±1.1","19.5%","±1.2","32.8%","±1.3","31.1%","±1.6","50.0%","±2.2"
"        High school graduate, GED, or alternative","13.3%","±0.7","24.3%","±1.2","18.8%","±0.8","19.3%","±1.0","19.5%","±0.7","17.8%","±0.8","27.7%","±1.8"
"        Some college or associate's degree","9.8%","±0.7","14.8%","±0.7","13.2%","±0.6","14.3%","±0.9","14.4%","±0.5","13.3%","±0.7","17.0%","±1.7"
"        Bachelor's degree or higher","4.8%","±0.5","5.1%","±0.3","7.9%","±0.5","6.4%","±0.5","5.7%","±0.2","6.5%","±0.6","6.1%","±1.1"
"EMPLOYMENT STATUS","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 18 years and older","10.7%","±0.4","13.9%","±0.4","18.3%","±0.4","15.2%","±0.4","13.8%","±0.3","16.1%","±0.4","31.1%","±0.9"
"        In labor force","11.9%","±0.5","14.7%","±0.4","19.9%","±0.4","17.4%","±0.5","14.8%","±0.3","17.9%","±0.6","34.6%","±1.2"
"            Employed","10.0%","±0.5","13.2%","±0.4","17.3%","±0.4","14.6%","±0.6","12.6%","±0.3","14.7%","±0.6","31.1%","±1.3"
"            Unemployed","36.0%","±2.2","39.2%","±1.8","44.3%","±1.6","34.8%","±1.9","42.8%","±1.4","46.2%","±1.7","64.0%","±4.3"
"        Not in labor force","8.0%","±0.5","11.4%","±0.6","13.5%","±0.6","11.3%","±0.7","11.2%","±0.4","12.2%","±0.7","24.5%","±1.5"
"WORK EXPERIENCE","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 18 years and older","10.7%","±0.4","13.9%","±0.4","18.3%","±0.4","15.2%","±0.4","13.8%","±0.3","16.1%","±0.4","31.1%","±0.9"
"        Worked full-time, year round in the past 12 months","8.0%","±0.5","9.9%","±0.5","14.2%","±0.5","11.8%","±0.6","8.5%","±0.3","10.8%","±0.6","24.9%","±1.5"
"        Worked less than full-time, year round in the past 12 months","17.4%","±1.0","22.2%","±0.8","28.1%","±0.9","23.5%","±1.1","23.3%","±0.6","26.3%","±0.9","48.1%","±1.9"
"        Did not work","9.7%","±0.6","13.6%","±0.7","17.4%","±0.7","13.8%","±0.7","13.0%","±0.5","14.4%","±0.6","22.4%","±1.4"
"HOUSEHOLD INCOME (IN 2013 INFLATION ADJUSTED DOLLARS)","","","","","","","","","","","","","",""
"    Civilian household population","9.4%","±0.4","11.5%","±0.3","15.5%","±0.3","13.2%","±0.4","11.9%","±0.3","13.6%","±0.4","25.5%","±0.9"
"        Under $25,000","14.8%","±1.2","21.7%","±1.5","22.6%","±1.3","14.6%","±0.8","23.3%","±0.9","22.6%","±1.1","33.0%","±2.0"
"        $25,000 to $49,999","14.3%","±0.9","24.2%","±1.3","22.8%","±1.0","16.2%","±1.0","20.7%","±0.7","20.5%","±1.1","32.0%","±2.3"
"        $50,000 to $74,999","12.4%","±1.1","19.1%","±1.1","19.7%","±1.0","13.0%","±1.0","15.1%","±0.7","14.7%","±0.8","22.1%","±2.0"
"        $75,000 to $99,999","8.2%","±1.0","13.6%","±1.2","14.6%","±1.0","12.3%","±1.3","10.1%","±0.7","8.7%","±0.9","18.7%","±2.4"
"        $100,000 and over","4.5%","±0.5","5.4%","±0.4","9.7%","±0.5","8.5%","±0.9","4.7%","±0.2","6.2%","±0.5","11.5%","±2.1"
"RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population for whom poverty status is determined","9.4%","±0.4","11.5%","±0.3","15.6%","±0.3","13.3%","±0.4","11.9%","±0.3","13.6%","±0.4","25.4%","±0.9"
"        Under 1.38 of poverty threshold","19.0%","±1.2","29.4%","±1.2","29.5%","±1.2","17.0%","±0.8","26.9%","±0.8","25.7%","±1.1","36.1%","±1.9"
"        1.38 to 1.99 of poverty threshold","16.4%","±1.5","26.9%","±1.7","27.4%","±1.4","16.9%","±1.2","23.8%","±1.0","21.1%","±1.5","32.2%","±2.2"
"        2.00 of poverty threshold and over","7.0%","±0.4","8.0%","±0.3","11.5%","±0.4","10.4%","±0.4","7.5%","±0.2","9.2%","±0.4","15.9%","±1.1"
"HEALTH COVERAGE BY TYPE","","","","","","","","","","","","","",""
"    Private health insurance","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Private health insurance alone","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Employment-based health insurance","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Employment-based health insurance alone","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Direct-purchase health insurance","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Direct-purchase health insurance alone","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    TRICARE/military health coverage","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        TRICARE/military health coverage alone","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Public coverage","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Public coverage alone","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Medicare coverage","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Medicare coverage alone","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Medicaid/means-tested public coverage","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Medicaid/means-tested public coverage alone","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    VA Health Care","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        VA Health Care alone","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Uninsured","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","","","",""
"    Health insurance coverage","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Private health insurance","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Employer-based health insurance","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Direct-purchase health insurance","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            TRICARE/military health coverage","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Public coverage","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Medicare coverage","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Medicaid/means-tested public coverage","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            VA Health Care","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
