"Label","Baltimore County, Maryland!!Percent Insured!!Estimate","Baltimore County, Maryland!!Percent Insured!!Margin of Error","Montgomery County, Maryland!!Percent Insured!!Estimate","Montgomery County, Maryland!!Percent Insured!!Margin of Error","Prince George's County, Maryland!!Percent Insured!!Estimate","Prince George's County, Maryland!!Percent Insured!!Margin of Error","Baltimore city, Maryland!!Percent Insured!!Estimate","Baltimore city, Maryland!!Percent Insured!!Margin of Error","King County, Washington!!Percent Insured!!Estimate","King County, Washington!!Percent Insured!!Margin of Error","Pierce County, Washington!!Percent Insured!!Estimate","Pierce County, Washington!!Percent Insured!!Margin of Error","Yakima County, Washington!!Percent Insured!!Estimate","Yakima County, Washington!!Percent Insured!!Margin of Error"
"    Two or more races","89.7%","±2.3","92.2%","±1.3","89.6%","±1.8","91.3%","±1.8","90.9%","±0.8","89.6%","±1.2","87.5%","±3.0"
"Hispanic or Latino (of any race)","73.7%","±2.5","74.3%","±1.2","61.3%","±1.3","69.1%","±2.7","74.4%","±1.1","76.8%","±1.5","69.6%","±1.1"
"White alone, not Hispanic or Latino","94.2%","±0.3","96.6%","±0.3","93.4%","±0.5","92.7%","±0.5","93.1%","±0.2","90.7%","±0.4","90.3%","±0.8"
"LIVING ARRANGEMENTS","","","","","","","","","","","","","",""
"    In family households","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        In married couple families","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        In other families","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Male householder, no wife present","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Female householder, no husband present","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    In non-family households and other living arrangements","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","",""
"    Native born","93.7%","±0.3","95.5%","±0.3","92.5%","±0.2","91.3%","±0.3","92.8%","±0.2","90.2%","±0.3","87.0%","±0.6"
"    Foreign born","78.3%","±1.4","77.8%","±0.7","62.9%","±0.9","70.0%","±2.0","80.7%","±0.6","74.7%","±1.2","45.9%","±1.9"
"        Naturalized","92.0%","±1.1","90.1%","±0.7","86.0%","±1.0","85.9%","±2.1","88.8%","±0.6","86.9%","±1.3","73.7%","±3.9"
"        Not a citizen","64.4%","±2.3","64.9%","±1.1","47.5%","±1.3","60.1%","±2.7","73.3%","±0.8","60.3%","±2.1","36.4%","±2.2"
"DISABILITY STATUS","","","","","","","","","","","","","",""
"    With a disability","95.1%","±0.6","94.0%","±0.6","93.2%","±0.6","93.7%","±0.6","92.8%","±0.4","91.8%","±0.6","89.5%","±1.1"
"    No disability","91.5%","±0.4","89.4%","±0.4","85.5%","±0.3","88.9%","±0.4","90.0%","±0.2","88.2%","±0.4","78.1%","±0.8"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 25 years and over","91.3%","±0.3","88.3%","±0.4","83.9%","±0.3","88.3%","±0.4","89.4%","±0.3","87.6%","±0.4","76.3%","±0.8"
"        Less than high school graduate","83.0%","±1.6","60.6%","±1.8","58.2%","±1.3","83.2%","±1.1","70.1%","±1.3","72.0%","±1.5","55.9%","±1.6"
"        High school graduate (includes equivalency)","87.9%","±0.8","77.5%","±1.1","82.8%","±0.8","85.5%","±0.8","83.4%","±0.6","84.5%","±0.8","76.4%","±1.5"
"        Some college or associate's degree","91.1%","±0.6","87.0%","±0.8","88.7%","±0.6","88.2%","±0.7","87.7%","±0.5","89.2%","±0.5","86.0%","±1.2"
"        Bachelor's degree or higher","96.1%","±0.4","95.5%","±0.3","92.4%","±0.5","94.4%","±0.4","95.4%","±0.2","94.7%","±0.5","94.4%","±1.1"
"EMPLOYMENT STATUS","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 18 years and over","90.8%","±0.3","87.7%","±0.4","83.7%","±0.3","88.0%","±0.4","88.7%","±0.2","86.6%","±0.4","73.8%","±0.8"
"        In labor force","89.9%","±0.4","86.9%","±0.4","82.4%","±0.4","86.2%","±0.4","87.9%","±0.3","84.9%","±0.5","70.5%","±1.1"
"            Employed","91.3%","±0.4","88.2%","±0.4","84.0%","±0.4","88.4%","±0.5","89.4%","±0.3","87.3%","±0.5","72.6%","±1.2"
"            Unemployed","69.9%","±2.2","66.2%","±1.8","65.2%","±1.9","71.3%","±1.8","65.7%","±1.5","60.7%","±2.2","48.8%","±3.8"
"        Not in labor force","92.8%","±0.5","90.1%","±0.5","87.5%","±0.6","91.3%","±0.5","90.5%","±0.3","89.8%","±0.5","79.7%","±1.2"
"WORK EXPERIENCE","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 18 to 64 years","88.8%","±0.4","85.7%","±0.4","81.5%","±0.4","86.1%","±0.4","86.9%","±0.3","84.1%","±0.5","68.5%","±1.0"
"        Worked full-time, year round in the past 12 months","92.6%","±0.4","90.0%","±0.4","85.9%","±0.5","90.6%","±0.5","92.1%","±0.3","90.1%","±0.5","76.1%","±1.6"
"        Worked less than full-time, year round in the past 12 months","83.9%","±0.8","79.5%","±0.9","75.0%","±0.8","79.6%","±1.0","80.3%","±0.6","76.7%","±1.0","58.2%","±1.8"
"        Did not work","84.5%","±0.9","80.0%","±1.2","76.6%","±1.0","84.3%","±0.8","82.0%","±0.6","80.3%","±0.9","67.5%","±1.9"
"HOUSEHOLD INCOME (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","",""
"    Total household population","92.0%","±0.3","89.7%","±0.3","86.0%","±0.3","89.6%","±0.3","90.3%","±0.2","88.6%","±0.3","79.5%","±0.7"
"        Under $25,000","87.8%","±1.1","82.1%","±1.5","79.9%","±1.4","88.0%","±0.7","81.1%","±0.8","81.2%","±1.1","73.3%","±1.6"
"        $25,000 to $49,999","87.5%","±1.0","79.0%","±1.2","79.2%","±1.0","87.4%","±0.7","82.9%","±0.7","82.9%","±0.8","74.3%","±1.3"
"        $50,000 to $74,999","88.9%","±0.9","82.7%","±1.1","81.9%","±1.0","89.6%","±0.8","86.7%","±0.6","88.1%","±0.8","81.2%","±1.5"
"        $75,000 to $99,999","93.4%","±0.8","87.8%","±1.3","86.6%","±0.9","90.2%","±1.0","91.3%","±0.6","91.6%","±0.9","85.4%","±2.2"
"        $100,000 and over","96.0%","±0.3","95.0%","±0.4","91.4%","±0.4","93.8%","±0.7","96.0%","±0.2","94.6%","±0.5","91.0%","±1.9"
"RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population for whom poverty status is determined","92.0%","±0.3","89.7%","±0.3","86.0%","±0.3","89.5%","±0.3","90.2%","±0.2","88.6%","±0.3","79.5%","±0.7"
"        Below 138 percent of the poverty threshold","84.3%","±1.3","74.4%","±1.4","74.0%","±1.0","86.2%","±0.7","78.2%","±0.6","79.0%","±1.0","71.1%","±1.5"
"        138 to 199 percent of the poverty threshold","84.9%","±1.5","76.0%","±1.4","76.4%","±1.4","86.2%","±1.1","80.5%","±1.0","82.2%","±1.2","72.7%","±1.9"
"        200 to 399 percent of the poverty threshold","90.1%","±0.7","83.5%","±0.8","82.3%","±0.7","89.8%","±0.7","87.4%","±0.5","88.6%","±0.6","82.6%","±1.5"
"        At or above 400 percent of the poverty threshold","96.7%","±0.3","96.3%","±0.3","94.0%","±0.3","94.6%","±0.4","96.8%","±0.2","95.2%","±0.4","93.9%","±1.3"
