"Label","Baltimore County, Maryland!!Percent Insured!!Estimate","Baltimore County, Maryland!!Percent Insured!!Margin of Error","Montgomery County, Maryland!!Percent Insured!!Estimate","Montgomery County, Maryland!!Percent Insured!!Margin of Error","Prince George's County, Maryland!!Percent Insured!!Estimate","Prince George's County, Maryland!!Percent Insured!!Margin of Error","Baltimore city, Maryland!!Percent Insured!!Estimate","Baltimore city, Maryland!!Percent Insured!!Margin of Error","King County, Washington!!Percent Insured!!Estimate","King County, Washington!!Percent Insured!!Margin of Error","Pierce County, Washington!!Percent Insured!!Estimate","Pierce County, Washington!!Percent Insured!!Margin of Error","Yakima County, Washington!!Percent Insured!!Estimate","Yakima County, Washington!!Percent Insured!!Margin of Error"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","90.7%","±0.3","88.2%","±0.4","84.0%","±0.4","89.3%","±0.4","90.5%","±0.2","88.3%","±0.5","74.8%","±1.1"
"            In labor force","91.1%","±0.4","88.5%","±0.4","84.4%","±0.4","89.0%","±0.5","91.0%","±0.3","88.7%","±0.5","75.0%","±1.2"
"                Employed","92.0%","±0.3","89.6%","±0.4","85.6%","±0.4","90.4%","±0.5","91.8%","±0.3","90.0%","±0.5","76.3%","±1.3"
"                Unemployed","75.2%","±2.1","69.9%","±2.2","68.3%","±2.0","75.8%","±1.6","75.1%","±1.6","69.4%","±2.3","57.6%","±3.8"
"            Not in labor force","89.0%","±0.8","86.3%","±1.1","81.7%","±0.9","90.1%","±0.7","88.1%","±0.5","87.2%","±0.9","74.0%","±2.1"
"    WORK EXPERIENCE","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","90.7%","±0.3","88.2%","±0.4","84.0%","±0.4","89.3%","±0.4","90.5%","±0.2","88.3%","±0.5","74.8%","±1.1"
"            Worked full-time, year round in the past 12 months","93.3%","±0.3","91.2%","±0.4","87.4%","±0.4","92.5%","±0.5","93.9%","±0.3","92.0%","±0.5","78.5%","±1.4"
"            Worked less than full-time, year round in the past 12 months","86.6%","±0.9","83.6%","±1.0","79.0%","±0.9","83.6%","±1.0","85.8%","±0.4","83.6%","±0.9","67.9%","±2.0"
"            Did not work","87.8%","±0.9","84.1%","±1.1","79.0%","±1.0","88.6%","±0.8","86.9%","±0.6","85.4%","±1.0","75.7%","±2.0"
"    HOUSEHOLD INCOME (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","",""
"        Total household population","93.3%","±0.3","91.6%","±0.3","88.0%","±0.3","91.9%","±0.3","93.0%","±0.2","91.8%","±0.3","84.1%","±0.7"
"            Under $25,000","89.1%","±1.3","87.4%","±1.2","83.7%","±1.3","90.6%","±0.7","86.6%","±0.8","86.2%","±1.2","80.6%","±1.6"
"            $25,000 to $49,999","89.8%","±0.8","82.6%","±1.2","82.7%","±1.0","90.3%","±0.8","86.6%","±0.6","88.4%","±0.9","79.6%","±1.6"
"            $50,000 to $74,999","91.2%","±1.0","85.0%","±1.1","84.0%","±0.9","91.7%","±1.0","89.9%","±0.7","90.4%","±0.7","83.7%","±1.6"
"            $75,000 to $99,999","93.8%","±0.7","89.1%","±1.3","87.6%","±0.9","91.0%","±1.2","93.0%","±0.5","93.4%","±0.7","87.5%","±1.9"
"            $100,000 and over","96.4%","±0.4","95.8%","±0.3","92.1%","±0.4","95.3%","±0.5","97.0%","±0.2","95.9%","±0.4","93.2%","±1.3"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","93.3%","±0.3","91.6%","±0.3","88.0%","±0.3","91.9%","±0.3","93.0%","±0.2","91.8%","±0.3","84.1%","±0.8"
"            Below 138 percent of the poverty threshold","86.5%","±1.2","80.5%","±1.1","78.4%","±1.1","89.2%","±0.7","84.1%","±0.7","84.6%","±1.1","77.7%","±1.7"
"            138 to 399 percent of the poverty threshold","90.8%","±0.5","84.5%","±0.7","83.0%","±0.6","91.0%","±0.7","89.0%","±0.4","90.7%","±0.5","83.5%","±1.0"
"            At or above 400 percent of the poverty threshold","97.1%","±0.3","97.0%","±0.2","94.8%","±0.3","95.8%","±0.4","97.6%","±0.1","96.2%","±0.3","94.8%","±1.0"
"            Below 100 percent of the poverty threshold","85.7%","±1.5","80.5%","±1.4","78.4%","±1.4","89.4%","±0.7","84.0%","±0.8","83.8%","±1.3","76.9%","±2.1"
