"Label","Baltimore County, Maryland!!Percent Insured!!Estimate","Baltimore County, Maryland!!Percent Insured!!Margin of Error","Montgomery County, Maryland!!Percent Insured!!Estimate","Montgomery County, Maryland!!Percent Insured!!Margin of Error","Prince George's County, Maryland!!Percent Insured!!Estimate","Prince George's County, Maryland!!Percent Insured!!Margin of Error","Baltimore city, Maryland!!Percent Insured!!Estimate","Baltimore city, Maryland!!Percent Insured!!Margin of Error","King County, Washington!!Percent Insured!!Estimate","King County, Washington!!Percent Insured!!Margin of Error","Pierce County, Washington!!Percent Insured!!Estimate","Pierce County, Washington!!Percent Insured!!Margin of Error","Yakima County, Washington!!Percent Insured!!Estimate","Yakima County, Washington!!Percent Insured!!Margin of Error"
"        Native Hawaiian and Other Pacific Islander alone","70.0%","±21.9","100.0%","±7.1","92.7%","±7.9","91.0%","±9.8","92.9%","±1.8","91.9%","±2.0","94.7%","±9.8"
"        Some other race alone","77.9%","±4.3","71.8%","±1.7","66.8%","±1.3","70.9%","±5.1","72.7%","±1.7","76.5%","±2.8","79.5%","±1.8"
"        Two or more races","93.6%","±1.5","96.0%","±0.9","95.2%","±1.1","95.5%","±1.3","95.6%","±0.6","95.7%","±0.7","90.3%","±2.3"
"        Hispanic or Latino (of any race)","76.7%","±2.6","79.8%","±1.0","71.2%","±1.1","76.3%","±2.6","81.9%","±0.9","85.6%","±1.2","80.4%","±1.2"
"        White alone, not Hispanic or Latino","96.7%","±0.2","98.0%","±0.2","96.1%","±0.5","96.2%","±0.4","96.8%","±0.1","95.5%","±0.2","94.1%","±0.8"
"    LIVING ARRANGEMENTS","","","","","","","","","","","","","",""
"        In family households","94.8%","±0.3","92.8%","±0.3","89.7%","±0.3","93.2%","±0.4","95.1%","±0.2","94.4%","±0.3","86.6%","±0.8"
"            In married couple families","96.0%","±0.3","94.5%","±0.4","91.9%","±0.4","95.3%","±0.5","96.3%","±0.2","95.4%","±0.3","88.2%","±0.9"
"            In other families","91.8%","±0.8","86.9%","±0.8","86.1%","±0.7","91.5%","±0.7","90.2%","±0.6","91.3%","±0.7","83.3%","±1.6"
"                Male reference person, no spouse present","89.4%","±1.8","81.6%","±1.8","75.8%","±1.9","87.4%","±1.7","85.8%","±1.2","89.2%","±1.3","79.0%","±3.0"
"                Female reference person, no spouse present","92.6%","±0.8","89.0%","±1.0","89.8%","±0.7","92.5%","±0.7","92.3%","±0.6","92.2%","±0.8","85.2%","±2.0"
"        In non-family households and other living arrangements","94.8%","±0.5","93.4%","±0.7","91.1%","±0.6","93.9%","±0.5","93.6%","±0.4","92.0%","±0.6","88.7%","±1.6"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","",""
"        Native born","96.5%","±0.2","96.8%","±0.2","95.3%","±0.2","94.7%","±0.3","96.6%","±0.1","95.1%","±0.2","93.0%","±0.6"
"        Foreign born","83.1%","±1.4","84.7%","±0.7","71.8%","±0.9","78.7%","±1.7","88.6%","±0.5","83.2%","±1.4","60.6%","±2.3"
"            Naturalized","93.6%","±1.0","94.5%","±0.4","92.5%","±0.8","92.0%","±1.8","95.4%","±0.4","93.2%","±1.2","85.3%","±2.3"
"            Not a citizen","70.9%","±2.5","73.0%","±1.3","56.4%","±1.3","69.5%","±2.5","82.6%","±0.8","70.5%","±2.5","50.1%","±2.9"
"    DISABILITY STATUS","","","","","","","","","","","","","",""
"        With a disability","96.8%","±0.5","96.0%","±0.6","95.6%","±0.6","96.2%","±0.5","96.4%","±0.4","96.3%","±0.4","93.2%","±1.2"
"        No disability","94.5%","±0.3","92.6%","±0.3","89.3%","±0.3","92.9%","±0.3","94.5%","±0.2","93.6%","±0.3","85.9%","±0.7"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","94.4%","±0.3","92.0%","±0.3","88.8%","±0.3","93.0%","±0.3","94.2%","±0.2","93.2%","±0.3","83.4%","±0.9"
"            Less than high school graduate","86.0%","±1.7","70.3%","±1.7","65.5%","±1.4","88.2%","±1.0","79.0%","±1.3","80.8%","±1.6","66.4%","±2.2"
"            High school graduate (includes equivalency)","92.5%","±0.6","84.3%","±1.2","87.7%","±0.6","90.8%","±0.8","89.7%","±0.6","91.2%","±0.7","84.0%","±1.4"
"            Some college or associate's degree","94.9%","±0.4","91.7%","±0.7","92.8%","±0.6","93.7%","±0.8","94.1%","±0.3","94.8%","±0.4","91.5%","±1.2"
"            Bachelor's degree or higher","97.1%","±0.4","97.1%","±0.3","95.7%","±0.4","96.8%","±0.4","97.5%","±0.2","96.7%","±0.4","95.2%","±1.0"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","92.7%","±0.4","90.0%","±0.4","86.6%","±0.4","91.3%","±0.4","92.8%","±0.2","91.3%","±0.4","79.0%","±1.0"
"            In labor force","93.1%","±0.4","90.3%","±0.4","87.1%","±0.4","91.7%","±0.5","93.2%","±0.2","91.7%","±0.4","79.2%","±1.2"
"                Employed","93.6%","±0.4","90.8%","±0.4","87.9%","±0.4","92.7%","±0.4","93.7%","±0.3","92.4%","±0.4","80.0%","±1.2"
"                Unemployed","83.1%","±2.0","78.0%","±2.6","74.7%","±2.0","80.3%","±2.1","82.4%","±1.5","79.1%","±2.3","66.8%","±4.0"
"            Not in labor force","91.0%","±0.7","88.3%","±1.0","83.5%","±1.1","90.3%","±0.9","91.0%","±0.5","89.8%","±0.7","78.4%","±1.8"
"    WORK EXPERIENCE","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","92.7%","±0.4","90.0%","±0.4","86.6%","±0.4","91.3%","±0.4","92.8%","±0.2","91.3%","±0.4","79.0%","±1.0"
"            Worked full-time, year round in the past 12 months","94.5%","±0.5","92.3%","±0.4","89.0%","±0.3","93.8%","±0.5","95.1%","±0.2","93.2%","±0.5","81.6%","±1.3"
"            Worked less than full-time, year round in the past 12 months","89.7%","±0.9","86.2%","±0.9","83.8%","±0.9","88.3%","±0.8","89.3%","±0.5","89.0%","±0.7","74.1%","±2.0"
"            Did not work","90.6%","±0.8","86.6%","±1.0","81.2%","±1.1","89.3%","±0.8","90.4%","±0.5","88.9%","±0.8","80.0%","±2.2"
"    HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","",""
"        Total household population","94.8%","±0.3","92.9%","±0.3","89.8%","±0.3","93.3%","±0.3","94.7%","±0.2","94.0%","±0.2","86.8%","±0.7"
"            Under $25,000","90.3%","±1.2","88.7%","±1.2","87.0%","±1.4","91.3%","±0.8","91.0%","±0.7","90.3%","±1.0","84.6%","±2.6"
"            $25,000 to $49,999","92.6%","±0.7","85.0%","±1.3","85.2%","±1.2","92.2%","±0.8","89.6%","±0.7","91.1%","±0.7","83.0%","±1.3"
"            $50,000 to $74,999","92.9%","±0.9","87.2%","±1.1","85.8%","±1.1","92.8%","±1.0","91.9%","±0.5","92.2%","±0.7","84.5%","±1.9"
"            $75,000 to $99,999","94.5%","±0.9","89.3%","±1.3","88.7%","±1.0","93.5%","±1.0","93.4%","±0.6","94.3%","±0.6","88.6%","±1.3"
"            $100,000 and over","97.1%","±0.4","96.4%","±0.2","93.0%","±0.4","95.8%","±0.5","97.2%","±0.2","96.6%","±0.3","94.2%","±0.9"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","94.7%","±0.3","92.9%","±0.3","89.8%","±0.3","93.4%","±0.3","94.7%","±0.2","94.0%","±0.2","86.8%","±0.7"
"            Below 138 percent of the poverty threshold","88.9%","±1.0","82.5%","±1.4","82.2%","±1.0","89.9%","±0.7","89.0%","±0.6","89.8%","±0.7","83.3%","±1.7"
"            138 to 399 percent of the poverty threshold","92.8%","±0.6","86.9%","±0.7","84.9%","±0.6","93.0%","±0.5","90.9%","±0.4","92.2%","±0.4","85.1%","±1.1"
"            At or above 400 percent of the poverty threshold","97.7%","±0.2","97.4%","±0.2","95.6%","±0.3","96.9%","±0.4","97.9%","±0.1","97.1%","±0.3","94.8%","±0.9"
"            Below 100 percent of the poverty threshold","87.9%","±1.3","81.6%","±1.7","81.4%","±1.4","89.9%","±0.8","88.4%","±0.7","89.1%","±0.8","83.4%","±2.4"
